49.576,49.768,51.739,49.479,49.236,49.236,48.991,50.194,49.911
85.839,86.108,87.691,85.671,86.231,85.404,85.123,86.005,84.746
19.799,20.103,17.589,19.799,20.304,20.304,20.304,19.799,20.153
46.370,46.452,46.857,45.000,44.712,45.285,45.000,45.567,44.712
17.223,17.849,16.699,17.745,17.223,17.745,18.263,17.223,17.952
90.830,87.110,93.180,87.267,87.670,85.989,87.481,89.882,87.416
59.681,59.520,59.549,57.995,58.155,58.314,61.213,59.681,58.314
13.387,13.658,12.844,12.953,13.496,14.036,13.496,12.953,13.550
33.345,32.984,33.465,32.619,32.619,32.619,33.024,33.425,33.225
191.475,170.018,-11.915,169.796,169.796,169.796,169.796,169.242,169.519
180.172,178.511,-3.548,180.000,179.427,178.854,178.282,178.282,181.489
10.869,11.585,10.869,11.310,11.310,11.860,11.860,11.310,11.530
30.626,28.855,30.922,27.924,27.474,27.924,28.369,30.541,28.635
91.460,79.311,266.730,73.093,76.261,80.396,100.705,94.326,75.125
62.585,62.464,62.279,60.673,61.213,61.991,62.117,62.610,60.945